YEAR,urban_rural,avg_child_dependency,avg_famsize,avg_nchild
1991,Rural,0.16334543238585206,4.9146038540142465,0.8861365295220636
1991,Urban,0.17688227376826013,5.544271619016827,0.9988197192095635
2001,Rural,0.16404522956338935,4.294360268066118,0.8029756563616034
2001,Urban,0.18149379781735558,4.899805289863075,0.928346560944395
2011,Rural,0.15873249462775826,4.877213990514604,0.7804995048277156
2011,Urban,0.17504251787301447,5.242168666864109,0.8868611976188736
