DIVISION,avg_rural_pct,avg_working_age_pct,avg_no_toilet_pct,total_working_age_pop
Barisal,84.591400146484375,60.6515007019043,2.6847716172536216,4795980
Chittagong,77.385779987682,60.6515007019043,8.090587063269181,16311340
Dhaka,80.30170126522289,60.6515007019043,5.401694118976593,29573340
Khulna,82.98956298828125,60.6515007019043,4.47464005947113,9957760
Rajshahi,82.54669857025146,60.6515007019043,12.202599912881851,11681840
Rangpur,87.30450916290283,60.6515007019043,19.330551028251648,9558300
Sylhet,86.33507919311523,60.6515007019043,8.815964818000793,5528980
