LOCATION,YEAR,avg_price
Barisal,2006,17.5
Barisal,2007,20.571428571428573
Barisal,2008,31.6875
Barisal,2009,22.3125
Barisal,2010,30.7
Barisal,2011,32.15
Barisal,2012,26.564444444444444
Barisal,2013,30.166249999999998
Barisal,2014,33.458333333333336
Barisal,2015,28.4575
Barisal,2016,30.146250000000002
Barisal,2017,38.585
Barisal,2018,37.39
Barisal,2019,30.333333333333332
Barisal,2020,43.10583333333333
Barisal,2021,43.46705882352941
Chittagong,2005,21
Chittagong,2006,17.166666666666668
Chittagong,2007,21.51
Chittagong,2008,28.9
Chittagong,2009,21.416249999999998
Chittagong,2010,28.25
Chittagong,2011,30.965714285714284
Chittagong,2012,29.413333333333334
Chittagong,2013,31.54
Chittagong,2014,34.65428571428571
Chittagong,2015,31.555
Chittagong,2016,27.888333333333332
Chittagong,2017,39.56
Chittagong,2018,36.5975
Chittagong,2019,32.315
Chittagong,2020,42.40625
Chittagong,2021,43.86363636363637
Dhaka,1998,13.7328
Dhaka,1999,12.2525
Dhaka,2000,11.526916666666667
Dhaka,2001,11.072727272727272
Dhaka,2002,12.600909090909092
Dhaka,2003,13.311428571428571
Dhaka,2004,14.102857142857143
Dhaka,2005,16.200555555555557
Dhaka,2006,16.53375
Dhaka,2007,20.19857142857143
Dhaka,2008,31.81013783783784
Dhaka,2009,23.029535714285714
Dhaka,2010,30.7452175
Dhaka,2011,33.52801818181818
Dhaka,2012,28.406273684210525
Dhaka,2013,32.35854285714286
Dhaka,2014,35.06060172413793
Dhaka,2015,31.302708333333335
Dhaka,2016,31.8642
Dhaka,2017,41.24794285714286
Dhaka,2018,42.01418823529412
Dhaka,2019,33.20791764705882
Dhaka,2020,42.035797435897436
Dhaka,2021,45.11062
Khulna,2005,16.5
Khulna,2006,16
Khulna,2007,39.294444444444444
Khulna,2008,30.07125
Khulna,2009,23.56142857142857
Khulna,2010,29.7
Khulna,2011,31.9375
Khulna,2012,24.6625
Khulna,2013,29.23888888888889
Khulna,2014,32.02777777777778
Khulna,2015,27.775
Khulna,2016,28.68875
Khulna,2017,34.4575
Khulna,2018,36.095
Khulna,2019,28.225
Khulna,2020,41.44571428571429
Khulna,2021,43.3208
Mymensingh,2020,41.528666666666666
Mymensingh,2021,43.284444444444446
Rajshahi,2006,16.810000000000002
Rajshahi,2007,20.141428571428573
Rajshahi,2008,30.608333333333334
Rajshahi,2009,20.238888888888887
Rajshahi,2010,29.325
Rajshahi,2011,30.64666666666667
Rajshahi,2012,25.19875
Rajshahi,2013,29.04
Rajshahi,2014,31.824
Rajshahi,2015,26.66777777777778
Rajshahi,2016,27.485714285714284
Rajshahi,2017,32.89
Rajshahi,2018,36.56625
Rajshahi,2019,28.91142857142857
Rajshahi,2020,40.6288
Rajshahi,2021,43.404782608695655
Rangpur,2020,40.922666666666665
Rangpur,2021,41.936829268292684
Sylhet,2007,21.95
Sylhet,2008,31
Sylhet,2009,21.651818181818182
Sylhet,2010,28.357142857142858
Sylhet,2011,31.233333333333334
Sylhet,2012,25.725714285714286
Sylhet,2013,29.125
Sylhet,2014,32.875
Sylhet,2015,28.694444444444443
Sylhet,2016,28.302
Sylhet,2017,37.254999999999995
Sylhet,2018,34.14333333333333
Sylhet,2019,28.935000000000002
Sylhet,2020,39.77
Sylhet,2021,39.7025
